trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.65, 'e': 0.5914019605795077}",25,18,11.55258575598848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.65, 'e': 0.5857428790182249}",20,0,-40.75557538453024,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
136,False,"{'a': 0.65, 'e': 0.5800550961730674}",20,0,-146.89334932231657,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
137,False,"{'a': 0.65, 'e': 0.5743388907442566}",30,19,17.533993381806436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.65, 'e': 0.5685945428247149}",25,0,-74.55129358061927,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
139,False,"{'a': 0.65, 'e': 0.5628223338863407}",20,0,-97.06064494607833,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
140,False,"{'a': 0.65, 'e': 0.5570225467662173}",20,2,-37.49958396461055,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
141,False,"{'a': 0.65, 'e': 0.5511954656527531}",20,11,-2.057614842733863,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.65, 'e': 0.5453413760717569}",25,0,-54.48402504763116,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.65, 'e': 0.5394605648724465}",25,0,-169.6993505217212,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
144,False,"{'a': 0.65, 'e': 0.5335533202133944}",25,16,3.3676194094533587,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.65, 'e': 0.5276199315484067}",20,0,20.1832863959286,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.65, 'e': 0.5216606896123411}",20,14,13.078560240384803,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.65, 'e': 0.5156758864068599}",20,6,22.136681670649025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.65, 'e': 0.5096658151861225}",25,9,-67.02677655818002,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
149,False,"{'a': 0.65, 'e': 0.5036307704424168}",30,11,-30.752904086377907,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
150,False,"{'a': 0.65, 'e': 0.497571047891727}",35,14,-42.434710165383166,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
151,False,"{'a': 0.65, 'e': 0.4914869444592463}",20,1,-31.669623618983714,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
152,False,"{'a': 0.65, 'e': 0.48537875826482507}",25,0,-89.31957259526801,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
153,False,"{'a': 0.65, 'e': 0.47924678860836506}",20,13,0.685533092095552,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.65, 'e': 0.47309133595515224}",20,0,-17.295251635622048,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
155,False,"{'a': 0.65, 'e': 0.4669127019211353}",25,4,-58.35028937224012,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
156,False,"{'a': 0.65, 'e': 0.46071118925814536}",30,0,-56.25013123711188,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",1
157,False,"{'a': 0.65, 'e': 0.4544871018390625}",30,0,-67.9662451081343,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
158,False,"{'a': 0.65, 'e': 0.4482407446429244}",30,18,-0.0550381043062087,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.65, 'e': 0.44197242373998435}",30,0,-45.54621160220413,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
160,False,"{'a': 0.65, 'e': 0.43568244627671204}",25,13,-36.148374061179794,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.65, 'e': 0.42937112046074505}",25,11,-58.725598659761935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
162,False,"{'a': 0.65, 'e': 0.42303875554578513}",20,7,-9.604289374590053,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.65, 'e': 0.4166856618164465}",20,14,5.733416724887089,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.65, 'e': 0.4103121505730504}",25,0,-64.62269785893375,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.65, 'e': 0.40391853411637296}",20,0,-21.61143795762214,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
166,False,"{'a': 0.65, 'e': 0.397505125732341}",25,9,-16.159505602161442,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.65, 'e': 0.391072239676682}",20,11,1.8596422790414002,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.65, 'e': 0.38462019115952595}",35,19,-11.296287346477522,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.65, 'e': 0.3781492963299588}",30,1,-21.205094567152173,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 0}",1
170,False,"{'a': 0.65, 'e': 0.371659872260533}",25,0,-67.8282913109247,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
171,False,"{'a': 0.65, 'e': 0.365152236931729}",25,0,-37.014071520586185,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
172,False,"{'a': 0.65, 'e': 0.35862670921637635}",20,10,-3.9555339399169256,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.65, 'e': 0.35208360886402695}",20,12,12.188428118961323,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.65, 'e': 0.3455232564852894}",25,17,-4.111039443121543,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.65, 'e': 0.3389459735361172}",20,3,-4.343834152462451,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.65, 'e': 0.33235208230205926}",25,14,-57.067912292127346,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
177,False,"{'a': 0.65, 'e': 0.3257419058824663}",20,6,-30.269557970221424,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.65, 'e': 0.31911576817466075}",20,0,-14.192960759090465,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.65, 'e': 0.31247399385806407}",30,3,-31.161565887383325,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 1}",1
180,False,"{'a': 0.65, 'e': 0.3058169083782893}",35,2,-57.93467568052565,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 2}",1
181,False,"{'a': 0.65, 'e': 0.29914483793119256}",20,13,1.5193326687165776,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.65, 'e': 0.29245810944689116}",20,8,8.012775977906117,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.65, 'e': 0.2857570505737428}",20,6,23.891180563830495,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.65, 'e': 0.2790419896622912}",25,13,-1.7382530042596036,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
185,False,"{'a': 0.65, 'e': 0.272313255749178}",25,3,-5.636415018364667,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 0}",1
186,False,"{'a': 0.65, 'e': 0.265571178541018}",20,12,6.5287882616931245,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.65, 'e': 0.2588160883982461}",25,15,-51.835543521778305,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
188,False,"{'a': 0.65, 'e': 0.25204831631892716}",25,17,-9.231264499596925,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.65, 'e': 0.24526819392253935}",20,14,10.746578542019629,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.65, 'e': 0.23847605343372313}",30,16,3.2667797129112737,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
191,False,"{'a': 0.65, 'e': 0.2316722276660039}",20,1,5.033872648809322,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.65, 'e': 0.22485705000548248}",20,2,15.184313588425516,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.65, 'e': 0.21803085439450107}",35,25,10.376521946988971,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.65, 'e': 0.2111939753152784}",30,22,17.952136357512977,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.65, 'e': 0.2043467477735218}",20,0,-27.676136684079573,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
196,False,"{'a': 0.65, 'e': 0.19748950728201042}",20,12,2.0565736256065312,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
